uid,species,genotype,split
Rice_Olympus_Exp10_Rhizotron_Wox10-15_4_02,Rice,wox10-15,test
Rice_Olympus_Exp10_Rhizotron_Wox10-15_4_04,Rice,wox10-15,test
Rice_Olympus_Exp10_Rhizotron_Wox10-15_4_05,Rice,wox10-15,test
Rice_Olympus_Exp10_Rhizotron_Wox10-15_4_06,Rice,wox10-15,test
Rice_Olympus_Exp10_Rhizotron_Wox10-15_5_01,Rice,wox10-15,test
Rice_Olympus_Exp10_Rhizotron_Wox10-15_5_02,Rice,wox10-15,test
Rice_Olympus_Exp10_Rhizotron_Wox10-15_5_03,Rice,wox10-15,test
Rice_Olympus_Exp10_Rhizotron_Wox10-15_5_04,Rice,wox10-15,test
Rice_Olympus_Exp10_Rhizotron_Wox10-15_5_05,Rice,wox10-15,test
Rice_Olympus_Exp10_Rhizotron_Wox10-15_5_06,Rice,wox10-15,test
Rice_Olympus_Exp10_Rhizotron_Wox10-15_5_07,Rice,wox10-15,test
Rice_Olympus_Exp10_Rhizotron_Wox10-50_1_01,Rice,wox10-15,test
Rice_Olympus_Exp10_Rhizotron_Wox10-50_1_02,Rice,wox10-15,test
Rice_Olympus_Exp10_Rhizotron_Wox10-50_1_03,Rice,wox10-15,test
Rice_Olympus_Exp10_Rhizotron_Wox10-50_1_04,Rice,wox10-15,test
Rice_Olympus_Exp10_Rhizotron_Wox10-50_1_05,Rice,wox10-15,test
Rice_Olympus_Exp10_Rhizotron_Wox10-50_2_01,Rice,wox10-15,test
Rice_Olympus_Exp10_Rhizotron_Wox10-50_2_03,Rice,wox10-15,test
Rice_Olympus_Exp10_Rhizotron_Wox10-50_2_04,Rice,wox10-15,test
Rice_Olympus_Exp10_Rhizotron_Wox10-50_3_01,Rice,wox10-15,test
Rice_Olympus_Exp10_Rhizotron_Wox10-50_3_02,Rice,wox10-15,test
Rice_Olympus_Exp10_Rhizotron_Wox10-50_3_03,Rice,wox10-15,test
Rice_Olympus_Exp10_Rhizotron_Wox10-50_3_04,Rice,wox10-15,test
Rice_Olympus_Exp10_Rhizotron_Wox10-50_3_05,Rice,wox10-15,test
Rice_Olympus_Exp10_Rhizotron_Wox10-50_3_06,Rice,wox10-15,test
Rice_Olympus_Exp10_Rhizotron_Wox10-50_4_01,Rice,wox10-15,test
Rice_Olympus_Exp10_Rhizotron_Wox10-50_4_02,Rice,wox10-15,test
Rice_Olympus_Exp10_Rhizotron_Wox10-50_4_03,Rice,wox10-15,test
Rice_Olympus_Exp10_Rhizotron_Wox10-50_4_04,Rice,wox10-15,test
Rice_Olympus_Exp10_Rhizotron_Wox10-50_4_05,Rice,wox10-15,test
Rice_Olympus_Exp10_Rhizotron_Wox10-50_4_06,Rice,wox10-15,test
Rice_Olympus_Exp11_Rhizotron_WT_1_01,Rice,Kittake,test
Rice_Olympus_Exp11_Rhizotron_WT_1_02,Rice,Kittake,test
Rice_Olympus_Exp11_Rhizotron_WT_1_03,Rice,Kittake,test
Rice_Olympus_Exp11_Rhizotron_WT_1_04,Rice,Kittake,test
Rice_Olympus_Exp11_Rhizotron_WT_1_05,Rice,Kittake,test
Rice_Olympus_Exp11_Rhizotron_WT_2_02,Rice,Kittake,test
Rice_Olympus_Exp11_Rhizotron_WT_3_02,Rice,Kittake,test
Rice_Olympus_Exp11_Rhizotron_WT_3_03,Rice,Kittake,test
Rice_Olympus_Exp11_Rhizotron_WT_3_05,Rice,Kittake,test
Rice_Olympus_Exp12_F-17-1_01,Rice,psy1-17 mutant ,train
Rice_Olympus_Exp12_F-17-1_02,Rice,psy1-17 mutant ,train
Rice_Olympus_Exp12_F-17-1_03,Rice,psy1-17 mutant ,train
Rice_Olympus_Exp12_F-17-1_04,Rice,psy1-17 mutant ,train
Rice_Olympus_Exp12_F-17-3_01,Rice,psy1-17 mutant ,train
Rice_Olympus_Exp12_F-17-3_02,Rice,psy1-17 mutant ,train
Rice_Olympus_Exp12_F-17-3_04,Rice,psy1-17 mutant ,train
Rice_Olympus_Exp12_F-17-3_07,Rice,psy1-17 mutant ,train
Rice_Olympus_Exp12_F-17-5_05,Rice,psy1-17 mutant ,train
Rice_Olympus_Exp12_F-17-5_06,Rice,psy1-17 mutant ,train
Rice_Olympus_Exp12_F-19-1_01,Rice,psy1-9 mutant,train
Rice_Olympus_Exp12_F-19-1_02,Rice,psy1-9 mutant,train
Rice_Olympus_Exp12_F-19-1_03,Rice,psy1-9 mutant,train
Rice_Olympus_Exp12_F-19-2_01,Rice,psy1-9 mutant,train
Rice_Olympus_Exp12_F-19-2_04,Rice,psy1-9 mutant,train
Rice_Olympus_Exp12_F-19-3_02,Rice,psy1-9 mutant,train
Rice_Olympus_Exp12_F-K-2_01,Rice,Kittake,train
Rice_Olympus_Exp12_F-K-2_02,Rice,Kittake,train
Rice_Olympus_Exp12_F-K-2_03,Rice,Kittake,train
Rice_Olympus_Exp12_F-K-3_01,Rice,Kittake,train
Rice_Olympus_Exp12_F-K-3_02,Rice,Kittake,train
Rice_Olympus_Exp12_F-K-3_03,Rice,Kittake,train
Rice_Olympus_Exp12_F-K-3_04,Rice,Kittake,train
Rice_Olympus_Exp13_P-9-1b_01,Rice,psy1-9 mutant,train
Rice_Olympus_Exp13_P-9-1b_03,Rice,psy1-9 mutant,train
Rice_Olympus_Exp13_P-9-1b_04,Rice,psy1-9 mutant,train
Rice_Olympus_Exp13_P-9-2_01,Rice,psy1-9 mutant,train
Rice_Olympus_Exp13_P-9-2_02,Rice,psy1-9 mutant,train
Rice_Olympus_Exp13_P-9-2_03,Rice,psy1-9 mutant,train
Rice_Olympus_Exp13_P-9-2_04,Rice,psy1-9 mutant,train
Rice_Olympus_Exp13_P-9-2_05,Rice,psy1-9 mutant,train
Rice_Olympus_Exp13_P-9-3_02,Rice,psy1-9 mutant,train
Rice_Olympus_Exp13_P-9-3_04,Rice,psy1-9 mutant,train
Rice_Olympus_Exp13_P-9-4_02,Rice,psy1-9 mutant,train
Rice_Olympus_Exp13_P-9-4_03,Rice,psy1-9 mutant,train
Rice_Olympus_Exp13_P-9-4_04,Rice,psy1-9 mutant,train
Rice_Olympus_Exp13_P-17-1_01,Rice,psy1-17 mutant,train
Rice_Olympus_Exp13_P-17-1_02,Rice,psy1-17 mutant,train
Rice_Olympus_Exp13_P-17-1_04,Rice,psy1-17 mutant,train
Rice_Olympus_Exp13_P-17-1_05,Rice,psy1-17 mutant,train
Rice_Olympus_Exp13_P-17-2_07,Rice,psy1-17 mutant,train
Rice_Olympus_Exp13_P-17-2_09,Rice,psy1-17 mutant,train
Rice_Olympus_Exp13_P-17-2_11,Rice,psy1-17 mutant,train
Rice_Olympus_Exp13_P-17-3_01,Rice,psy1-17 mutant,train
Rice_Olympus_Exp13_P-17-3_02,Rice,psy1-17 mutant,train
Rice_Olympus_Exp13_P-17-3_03,Rice,psy1-17 mutant,train
Rice_Olympus_Exp13_P-17-3_04,Rice,psy1-17 mutant,train
Rice_Olympus_Exp13_P-17-3_05,Rice,psy1-17 mutant,train
Rice_Olympus_Exp13_P-17-3_06,Rice,psy1-17 mutant,train
Rice_Olympus_Exp13_P-17-3_07,Rice,psy1-17 mutant,train
Rice_Olympus_Exp13_P-17-3_08,Rice,psy1-17 mutant,train
Rice_Olympus_Exp13_P-17-3_09,Rice,psy1-17 mutant,train
Rice_Olympus_Exp13_P-17-4_01,Rice,psy1-17 mutant,train
Rice_Olympus_Exp13_P-17-4_02,Rice,psy1-17 mutant,train
Rice_Olympus_Exp13_P-17-4_03,Rice,psy1-17 mutant,train
Rice_Olympus_Exp13_P-17-4_04,Rice,psy1-17 mutant,train
Rice_Olympus_Exp13_P-K-1_01,Rice,Kittake,train
Rice_Olympus_Exp13_P-K-1_02,Rice,Kittake,train
Rice_Olympus_Exp13_P-K-1_03,Rice,Kittake,train
Rice_Olympus_Exp13_P-K-1_04,Rice,Kittake,train
Rice_Olympus_Exp13_P-K-2_01,Rice,Kittake,train
Rice_Olympus_Exp13_P-K-2_02,Rice,Kittake,train
Rice_Olympus_Exp13_P-K-2_03,Rice,Kittake,train
Rice_Olympus_Exp13_P-K-2_04,Rice,Kittake,train
Rice_Olympus_Exp13_P-K-2_06,Rice,Kittake,train
Rice_Olympus_Exp13_P-K-2_10,Rice,Kittake,train
Rice_Olympus_Exp13_P-K-3_01,Rice,Kittake,train
Rice_Olympus_Exp13_P-K-3_02,Rice,Kittake,train
Rice_Olympus_Exp13_P-K-3_03,Rice,Kittake,train
Rice_Olympus_Exp13_P-K-3_04,Rice,Kittake,train
Rice_Olympus_Exp13_P-K-3_05,Rice,Kittake,train
Rice_Olympus_Exp13_P-K-3_06,Rice,Kittake,train
Rice_Olympus_Exp13_P-K-4_02,Rice,Kittake,train
Rice_Olympus_Exp13_P-K-4_03,Rice,Kittake,train
Rice_Olympus_Exp13_P-K-4_05,Rice,Kittake,train
Rice_Olympus_Exp13_P-K-4_07,Rice,Kittake,train
Rice_Olympus_Exp14_R-17-2_04,Rice,psy1-17 mutant,train
Rice_Olympus_Exp14_R-17-3_02,Rice,psy1-17 mutant,train
Rice_Olympus_Exp14_R-17-3_04,Rice,psy1-17 mutant,train
Rice_Olympus_Exp14_R-17-3_05,Rice,psy1-17 mutant,train
Rice_Olympus_Exp14_R-17-3b_01,Rice,psy1-17 mutant,train
Rice_Olympus_Exp14_R-17-3b_02,Rice,psy1-17 mutant,train
Rice_Olympus_Exp14_R-17-4_01,Rice,psy1-17 mutant,train
Rice_Olympus_Exp14_R-17-4_02,Rice,psy1-17 mutant,train
Rice_Olympus_Exp14_R-17-4_03,Rice,psy1-17 mutant,train
Rice_Olympus_Exp14_R-17-4_04,Rice,psy1-17 mutant,train
Rice_Olympus_Exp14_R-17-6_05,Rice,psy1-17 mutant,train
Rice_Olympus_Exp14_R-19-1_03,Rice,psy1-9 mutant,train
Rice_Olympus_Exp14_R-19-2_01,Rice,psy1-9 mutant,train
Rice_Olympus_Exp14_R-19-2_02,Rice,psy1-9 mutant,train
Rice_Olympus_Exp14_R-19-2_04,Rice,psy1-9 mutant,train
Rice_Olympus_Exp14_R-19-2_05,Rice,psy1-9 mutant,train
Rice_Olympus_Exp14_R-19-3_04,Rice,psy1-9 mutant,train
Rice_Olympus_Exp14_R-19-4_01,Rice,psy1-9 mutant,train
Rice_Olympus_Exp14_R-19-4_04,Rice,psy1-9 mutant,train
Rice_Olympus_Exp14_R-19-4_06,Rice,psy1-9 mutant,train
Rice_Olympus_Exp14_R-K-3_03,Rice,Kittake,train
Rice_Olympus_Exp14_R-K-3_04,Rice,Kittake,train
Rice_Olympus_Exp15_R_PSY1-17__02,Rice,psy1-17 mutant,train
Rice_Olympus_Exp15_R_PSY1-17__03,Rice,psy1-17 mutant,train
Rice_Olympus_Exp15_R_PSY1-17__08,Rice,psy1-17 mutant,train
Rice_Olympus_Exp15_R_PSY1-17__11,Rice,psy1-17 mutant,train
Rice_Olympus_Exp15_R_PSY1-17__12,Rice,psy1-17 mutant,train
Rice_Olympus_Exp15_R_PSY1-17__14,Rice,psy1-17 mutant,train
Rice_Olympus_Exp15_R_PSY1-17__19,Rice,psy1-17 mutant,train
Rice_Olympus_Exp15_R_PSY1-17__20,Rice,psy1-17 mutant,train
Rice_Olympus_Exp15_R_PSY1-17__24,Rice,psy1-17 mutant,train
Rice_Olympus_Exp15_R_PSY1-17__28,Rice,psy1-17 mutant,train
Rice_Olympus_Exp15_R_PSY1-17__29,Rice,psy1-17 mutant,train
Rice_Olympus_Exp15_R_PSY1-17__33,Rice,psy1-17 mutant,train
Rice_Olympus_Exp15_R_PSY1-17__36,Rice,psy1-17 mutant,train
Rice_Olympus_Exp15_R_PSY1-17__38,Rice,psy1-17 mutant,train
Rice_Olympus_Exp15_R_PSY1-17__42,Rice,psy1-17 mutant,train
Rice_Olympus_Exp15_R_PSY1-17__47,Rice,psy1-17 mutant,train
Rice_Olympus_Exp15_R_PSY1-17__48,Rice,psy1-17 mutant,train
Rice_Olympus_Exp15_R_PSY1-17__49,Rice,psy1-17 mutant,train
Rice_Olympus_Exp15_R_PSY1-17__51,Rice,psy1-17 mutant,train
Rice_Olympus_Exp16_R_WT__01,Rice,Kittake,val
Rice_Olympus_Exp16_R_WT__02,Rice,Kittake,val
Rice_Olympus_Exp16_R_WT__05,Rice,Kittake,val
Rice_Olympus_Exp16_R_WT__11,Rice,Kittake,val
Rice_Olympus_Exp16_R_WT__14,Rice,Kittake,val
Rice_Olympus_Exp16_R_WT__15,Rice,Kittake,val
Rice_Olympus_Exp16_R_WT__16,Rice,Kittake,val
Rice_Olympus_Exp16_R_WT__17,Rice,Kittake,val
Rice_Olympus_Exp16_R_WT__18,Rice,Kittake,val
Rice_Olympus_Exp16_R_WT__20,Rice,Kittake,val
Rice_Olympus_Exp16_R_WT__23,Rice,Kittake,val
Rice_Olympus_Exp16_R_WT__24,Rice,Kittake,val
Rice_Olympus_Exp16_R_WT__26,Rice,Kittake,val
Rice_Olympus_Exp16_R_WT__29,Rice,Kittake,val
Rice_Olympus_Exp17_R_PSY1-9_3-4cm_02,Rice,psy1-9 mutant,train
Rice_Olympus_Exp17_R_PSY1-9_3-4cm_04,Rice,psy1-9 mutant,train
Rice_Olympus_Exp17_R_PSY1-9_3-4cm_05,Rice,psy1-9 mutant,train
Rice_Olympus_Exp17_R_PSY1-9_3-4cm_06,Rice,psy1-9 mutant,train
Rice_Olympus_Exp17_R_PSY1-9_3-4cm_07,Rice,psy1-9 mutant,train
Rice_Olympus_Exp17_R_PSY1-9_3-4cm_10,Rice,psy1-9 mutant,train
Rice_Olympus_Exp17_R_PSY1-9_3-4cm_13,Rice,psy1-9 mutant,train
Rice_Olympus_Exp17_R_PSY1-9_3-4cm_14,Rice,psy1-9 mutant,train
Rice_Olympus_Exp17_R_PSY1-9_3-4cm_17,Rice,psy1-9 mutant,train
Rice_Olympus_Exp17_R_PSY1-9_3-4cm_20,Rice,psy1-9 mutant,train
Rice_Olympus_Exp17_R_PSY1-9_3-4cm_39,Rice,psy1-9 mutant,train
Rice_Olympus_Exp17_R_PSY1-9_3-4cm_43,Rice,psy1-9 mutant,train
Rice_Olympus_Exp17_R_PSY1-9_3-4cm_45,Rice,psy1-9 mutant,train
Rice_Olympus_Exp17_R_PSY1-9_3-4cm_59,Rice,psy1-9 mutant,train
Rice_Olympus_Exp17_R_PSY1-9_3-4cm_65,Rice,psy1-9 mutant,train
Rice_Olympus_Exp17_R_PSY1-9_3-4cm_71,Rice,psy1-9 mutant,train
Rice_Olympus_Exp17_R_PSY1-9_3-4cm_72,Rice,psy1-9 mutant,train
Rice_Olympus_Exp17_R_PSY1-9_3-4cm_76,Rice,psy1-9 mutant,train
Rice_Olympus_Exp17_R_PSY1-9_3-4cm_82,Rice,psy1-9 mutant,train
Rice_Olympus_Exp17_R_PSY1-9_3-4cm_83,Rice,psy1-9 mutant,train
Rice_Olympus_Exp17_R_PSY1-9_3-4cm_86,Rice,psy1-9 mutant,train
Rice_Olympus_Exp17_R_PSY1-9_3-4cm_88,Rice,psy1-9 mutant,train
Rice_Olympus_Exp17_R_PSY1-9_3-4cm_89,Rice,psy1-9 mutant,train
Rice_Olympus_Exp17_R_PSY1-9_3-4cm_93,Rice,psy1-9 mutant,train
Rice_Olympus_Exp17_R_PSY1-9_3-4cm_94,Rice,psy1-9 mutant,train
Rice_Olympus_Exp17_R_PSY1-9_3-4cm_99,Rice,psy1-9 mutant,train
Rice_Olympus_Exp17_R_PSY1-9_3-4cm_101,Rice,psy1-9 mutant,train
Rice_Olympus_Exp17_R_PSY1-9_3-4cm_103,Rice,psy1-9 mutant,train
Rice_Olympus_Exp17_R_PSY1-9_3-4cm_106,Rice,psy1-9 mutant,train
Rice_Olympus_Exp17_R_PSY1-9_3-4cm_107,Rice,psy1-9 mutant,train
Rice_Olympus_Exp17_R_PSY1-9_3-4cm_109,Rice,psy1-9 mutant,train
Rice_Olympus_Exp17_R_PSY1-9_3-4cm_111,Rice,psy1-9 mutant,train
Rice_Olympus_Exp17_R_PSY1-9_3-4cm_115,Rice,psy1-9 mutant,train
Rice_Olympus_Exp17_R_PSY1-9_3-4cm_122,Rice,psy1-9 mutant,train
Rice_Olympus_Exp17_R_PSY1-9_3-4cm_123,Rice,psy1-9 mutant,train
Rice_Olympus_Exp17_R_PSY1-9_3-4cm_125,Rice,psy1-9 mutant,train
Rice_Olympus_Exp17_R_PSY1-9_3-4cm_127,Rice,psy1-9 mutant,train
Rice_Olympus_Exp17_R_PSY1-9_3-4cm_128,Rice,psy1-9 mutant,train
Rice_Olympus_Exp17_R_PSY1-17_3-4cm_02,Rice,psy1-17 mutant,train
Rice_Olympus_Exp17_R_PSY1-17_3-4cm_05,Rice,psy1-17 mutant,train
Rice_Olympus_Exp17_R_PSY1-17_3-4cm_06,Rice,psy1-17 mutant,train
Rice_Olympus_Exp17_R_PSY1-17_3-4cm_11,Rice,psy1-17 mutant,train
Rice_Olympus_Exp17_R_PSY1-17_3-4cm_16,Rice,psy1-17 mutant,train
Rice_Olympus_Exp17_R_PSY1-17_3-4cm_19,Rice,psy1-17 mutant,train
Rice_Olympus_Exp17_R_PSY1-17_3-4cm_20,Rice,psy1-17 mutant,train
Rice_Olympus_Exp17_R_PSY1-17_3-4cm_24,Rice,psy1-17 mutant,train
Rice_Olympus_Exp17_R_PSY1-17_3-4cm_28,Rice,psy1-17 mutant,train
Rice_Olympus_Exp17_R_PSY1-17_3-4cm_34,Rice,psy1-17 mutant,train
Rice_Olympus_Exp17_R_PSY1-17_3-4cm_36,Rice,psy1-17 mutant,train
Rice_Olympus_Exp17_R_PSY1-17_3-4cm_37,Rice,psy1-17 mutant,train
Rice_Olympus_Exp17_R_PSY1-17_3-4cm_41,Rice,psy1-17 mutant,train
Rice_Olympus_Exp17_R_PSY1-17_3-4cm_43,Rice,psy1-17 mutant,train
Rice_Olympus_Exp17_R_PSY1-17_3-4cm_44,Rice,psy1-17 mutant,train
Rice_Olympus_Exp17_R_PSY1-17_3-4cm_45,Rice,psy1-17 mutant,train
Rice_Olympus_Exp17_R_PSY1-17_3-4cm_47,Rice,psy1-17 mutant,train
Rice_Olympus_Exp17_R_PSY1-17_3-4cm_48,Rice,psy1-17 mutant,train
Rice_Olympus_Exp17_R_PSY1-17_3-4cm_52,Rice,psy1-17 mutant,train
Rice_Olympus_Exp17_R_PSY1-17_3-4cm_54,Rice,psy1-17 mutant,train
Rice_Olympus_Exp17_R_PSY1-17_3-4cm_57,Rice,psy1-17 mutant,train
Rice_Olympus_Exp17_R_PSY1-17_3-4cm_58,Rice,psy1-17 mutant,train
Rice_Olympus_Exp17_R_PSY1-17_3-4cm_60,Rice,psy1-17 mutant,train
Rice_Olympus_Exp17_R_PSY1-17_3-4cm_64,Rice,psy1-17 mutant,train
Rice_Olympus_Exp17_R_PSY1-17_3-4cm_65,Rice,psy1-17 mutant,train
Rice_Olympus_Exp17_R_PSY1-17_3-4cm_68,Rice,psy1-17 mutant,train
Rice_Olympus_Exp17_R_PSY1-17_3-4cm_73,Rice,psy1-17 mutant,train
Rice_Olympus_Exp17_R_PSY1-17_3-4cm_74,Rice,psy1-17 mutant,train
Rice_Olympus_Exp17_R_PSY1-17_3-4cm_75,Rice,psy1-17 mutant,train
Rice_Olympus_Exp17_R_PSY1-17_3-4cm_76,Rice,psy1-17 mutant,train
Rice_Olympus_Exp17_R_PSY1-17_3-4cm_77,Rice,psy1-17 mutant,train
Rice_Olympus_Exp17_R_PSY1-17_3-4cm_80,Rice,psy1-17 mutant,train
Rice_Olympus_Exp17_R_PSY1-17_3-4cm_81,Rice,psy1-17 mutant,train
Rice_Olympus_Exp17_R_PSY1-17_3-4cm_82,Rice,psy1-17 mutant,train
Rice_Olympus_Exp17_R_PSY1-17_3-4cm_83,Rice,psy1-17 mutant,train
Rice_Olympus_Exp17_R_PSY1-17_3-4cm_85,Rice,psy1-17 mutant,train
Rice_Olympus_Exp17_R_PSY1-17_3-4cm_86,Rice,psy1-17 mutant,train
Rice_Olympus_Exp17_R_PSY1-17_3-4cm_87,Rice,psy1-17 mutant,train
Rice_Olympus_Exp17_R_PSY1-17_3-4cm_88,Rice,psy1-17 mutant,train
Rice_Olympus_Exp17_R_PSY1-17_3-4cm_89,Rice,psy1-17 mutant,train
Rice_Olympus_Exp17_R_PSY1-17_3-4cm_92,Rice,psy1-17 mutant,train
Rice_Olympus_Exp17_R_PSY1-17_3-4cm_99,Rice,psy1-17 mutant,train
Rice_Olympus_Exp17_R_PSY1-17_3-4cm_100,Rice,psy1-17 mutant,train
Rice_Olympus_Exp17_R_PSY1-17_3-4cm_101,Rice,psy1-17 mutant,train
Rice_C10_Exp1_PSY9-1-a,Rice,psy1-9 mutant,train
Rice_C10_Exp1_PSY9-1-b,Rice,psy1-9 mutant,train
Rice_C10_Exp1_PSY9-1-c,Rice,psy1-9 mutant,train
Rice_C10_Exp1_PSY9-1-d,Rice,psy1-9 mutant,train
Rice_C10_Exp2_PSY17-1-a,Rice,psy1-17 mutant,train
Rice_C10_Exp2_PSY17-1-b,Rice,psy1-17 mutant,train
Rice_C10_Exp2_PSY17-1-c,Rice,psy1-17 mutant,train
Rice_C10_Exp2_PSY17-1-d,Rice,psy1-17 mutant,train
Rice_C10_Exp3_WT-1-a,Rice,Kittake,val
Rice_C10_Exp3_WT-1-b,Rice,Kittake,val
Rice_C10_Exp3_WT-1-c,Rice,Kittake,val
Rice_C10_Exp4_WT-2-a,Rice,Kittake,train
Rice_C10_Exp4_WT-2-b,Rice,Kittake,train
Rice_C10_Exp4_WT-2-c,Rice,Kittake,train
Rice_C10_Exp4_WT-2-d,Rice,Kittake,train
Rice_C10_Exp4_WT-3-a,Rice,Kittake,train
Rice_C10_Exp4_WT-3-b,Rice,Kittake,train
Rice_C10_Exp4_WT-3-c,Rice,Kittake,train
Rice_C10_Exp4_WT-3-d,Rice,Kittake,train
Rice_C10_Exp4_WT-3-e,Rice,Kittake,train
Rice_C10_Exp5_WT-4-a,Rice,Kittake,train
Rice_C10_Exp5_WT-4-b,Rice,Kittake,train
Rice_C10_Exp5_WT-4-c,Rice,Kittake,train
Rice_C10_Exp5_WT-4-d,Rice,Kittake,train
Rice_C10_Exp5_WT-4-e,Rice,Kittake,train
Rice_C10_Exp5_WT-4-f,Rice,Kittake,train
Rice_C10_Exp6_PSY17-2-a,Rice,psy1-17 mutant,train
Rice_C10_Exp6_PSY17-2-b,Rice,psy1-17 mutant,train
Rice_C10_Exp6_PSY17-2-c,Rice,psy1-17 mutant,train
Rice_C10_Exp6_PSY17-2-d,Rice,psy1-17 mutant,train
Rice_C10_Exp6_PSY17-2-e,Rice,psy1-17 mutant,train
Rice_C10_Exp6_PSY17-3-a,Rice,psy1-17 mutant,train
Rice_C10_Exp6_PSY17-3-b,Rice,psy1-17 mutant,train
Rice_C10_Exp6_PSY17-3-c,Rice,psy1-17 mutant,train
Rice_C10_Exp6_PSY17-3-d,Rice,psy1-17 mutant,train
Rice_C10_Exp6_PSY17-3-e,Rice,psy1-17 mutant,train
Rice_C10_Exp6_PSY17-3-f,Rice,psy1-17 mutant,train
Rice_C10_Exp7_PSY17-4-a,Rice,psy1-17 mutant,test
Rice_C10_Exp7_PSY17-4-b,Rice,psy1-17 mutant,test
Rice_C10_Exp7_PSY17-4-d,Rice,psy1-17 mutant,test
Rice_C10_Exp8_PSY9-2-a,Rice,psy1-9 mutant,train
Rice_C10_Exp8_PSY9-2-b,Rice,psy1-9 mutant,train
Rice_C10_Exp8_PSY9-2-c,Rice,psy1-9 mutant,train
Rice_C10_Exp8_PSY9-2-d,Rice,psy1-9 mutant,train
Rice_C10_Exp9_PSY9-3-a,Rice,psy1-9 mutant,val
Rice_C10_Exp9_PSY9-3-b,Rice,psy1-9 mutant,val
Rice_C10_Exp9_PSY9-3-d,Rice,psy1-9 mutant,val
Rice_C10_Exp10_PSY9-4-b,Rice,psy1-9 mutant,test
Rice_C10_Exp10_PSY9-4-c,Rice,psy1-9 mutant,test
Rice_C10_Exp10_PSY9-4-d,Rice,psy1-9 mutant,test
Rice_Zeiss_Exp1_Image_31,Rice,Kittake,oneshot
Rice_Zeiss_Exp1_Image_33,Rice,Kittake,oneshot
Rice_Zeiss_Exp1_Image_34,Rice,Kittake,oneshot
Rice_Zeiss_Exp1_Image_36,Rice,Kittake,oneshot
Rice_Zeiss_Exp1_Image_37,Rice,Kittake,oneshot
Rice_Zeiss_Exp1_Image_39,Rice,Kittake,oneshot
Rice_Zeiss_Exp1_Image_40,Rice,Kittake,oneshot
Rice_Zeiss_Exp1_Image_41,Rice,Kittake,oneshot
Rice_Zeiss_Exp1_Image_42,Rice,Kittake,oneshot
Rice_Zeiss_Exp1_Image_43,Rice,Kittake,oneshot
Rice_Zeiss_Exp1_Image_44,Rice,Kittake,oneshot
Rice_Zeiss_Exp1_Image_45,Rice,Kittake,oneshot
Rice_Zeiss_Exp1_Image_48,Rice,Kittake,oneshot
Rice_Zeiss_Exp1_Image_50,Rice,Kittake,oneshot
Rice_Zeiss_Exp1_Image_51,Rice,Kittake,oneshot
Rice_Zeiss_Exp1_Image_52,Rice,Kittake,oneshot
Rice_Zeiss_Exp1_Image_53,Rice,Kittake,oneshot
Rice_Zeiss_Exp1_Image_54,Rice,Kittake,oneshot
Rice_Zeiss_Exp1_Image_56,Rice,Kittake,oneshot
Rice_Zeiss_Exp1_Image_57,Rice,Kittake,oneshot
Rice_Zeiss_Exp1_Image_58,Rice,Kittake,oneshot
Rice_Zeiss_Exp1_Image_59,Rice,Kittake,oneshot
Rice_Zeiss_Exp1_Image_60,Rice,Kittake,oneshot
Rice_Zeiss_Exp1_Image_61,Rice,Kittake,oneshot
Rice_Zeiss_Exp1_Image_62,Rice,Kittake,oneshot
Rice_Zeiss_Exp1_Image_63,Rice,Kittake,oneshot
Rice_Zeiss_Exp1_Image_64,Rice,Kittake,oneshot
Rice_Zeiss_Exp1_Image_65,Rice,Kittake,oneshot
Rice_Zeiss_Exp2_Image_35,Rice,Kittake,oneshot
Rice_Zeiss_Exp2_Image_47,Rice,Kittake,oneshot
Rice_Zeiss_Exp2_Image_55,Rice,Kittake,oneshot
Rice_Zeiss_Exp2_Image_66,Rice,Kittake,oneshot
Rice_Zeiss_Exp3_Image_32,Rice,Kittake,oneshot
Rice_Zeiss_Exp3_Image_38,Rice,Kittake,oneshot
Rice_Zeiss_Exp3_Image_49,Rice,Kittake,oneshot
Sorghum_Olympus_Exp1_1_02,Sorghum,ETSL 101865,train
Sorghum_Olympus_Exp1_1_04,Sorghum,ETSL 101865,train
Sorghum_Olympus_Exp1_2_03,Sorghum,ETSL 101865,train
Sorghum_Olympus_Exp1_3_01,Sorghum,ETSL 101865,train
Sorghum_Olympus_Exp1_3_03,Sorghum,ETSL 101865,train
Sorghum_Olympus_Exp1_3_04,Sorghum,ETSL 101865,train
Sorghum_Olympus_Exp1_3_07,Sorghum,ETSL 101865,train
Sorghum_Olympus_Exp2_1_01,Sorghum,ETSL 100312,train
Sorghum_Olympus_Exp2_1_02,Sorghum,ETSL 100312,train
Sorghum_Olympus_Exp2_1_04,Sorghum,ETSL 100312,train
Sorghum_Olympus_Exp3_1_03,Sorghum,ETSL 101851,train
Sorghum_Olympus_Exp3_2_02,Sorghum,ETSL 101851,train
Sorghum_Olympus_Exp3_3_02,Sorghum,ETSL 101851,train
Sorghum_Olympus_Exp3_3_03,Sorghum,ETSL 101851,train
Sorghum_Olympus_Exp4_3_02,Sorghum,ETSL 101862,train
Sorghum_Olympus_Exp4_3_04,Sorghum,ETSL 101862,train
Sorghum_Olympus_Exp4_4_03,Sorghum,ETSL 101862,train
Sorghum_Olympus_Exp4_4_04,Sorghum,ETSL 101862,train
Sorghum_Olympus_Exp5_1_04,Sorghum,ETSL 101888,train
